"species","nonnative_area_km2"
"Borago pygmaea",0
"Bouea oppositifolia",0
"Brachyglottis greyi",0
"Brachypodium sylvaticum",114188.303553958
"Brachypterum scandens",1294.79358065442
"Brasiliopuntia brasiliensis",33937.1633892775
"Brassica cretica",2755.83054896538
"Brassica elongata",40558.5656767024
"Braya humilis",0
"Briza media",76139.0021726834
"Brosimum alicastrum",537.391141462702
"Bruguiera gymnorhiza",74603.1042889278
"Bruguiera sexangula",0
"Brunnera sibirica",83668.7413966678
"Bryonia alba",812156.294940276
"Buddleja curviflora",6992.51860791498
"Buddleja indica",7768.58524273252
"Buglossoides arvensis",2103007.94771811
"Bulbostylis barbata",511678.293047235
"Bulbostylis thouarsii",2463.97102172498
"Bunias erucago",44368.4544512975
"Bunium bulbocastanum",25129.7685659213
"Buphthalmum salicifolium",17121.4653108579
"Bupleurum falcatum",6134.46327151237
"Bupleurum lancifolium",0
"Bupleurum longifolium",0
"Bupleurum odontites",20836.2137191061
"Bupleurum rotundifolium",228750.733401056
"Bupleurum semicompositum",143395.274943242
"Bupleurum subovatum",0
"Bupleurum tenuissimum",3783.70640611242
"Bursera simaruba",0
"Butea monosperma",0
"Butia capitata",1509.00936713522
"Butomus umbellatus",634354.719949485
"Buxus balearica",0
"Buxus sempervirens",533932.256340456
"Caldesia parnassifolia",21754.0914334445
"Calendula arvensis",514009.113935101
"Calendula suffruticosa",96.8918334245122
"Calepina irregularis",204996.814172841
"Calibrachoa parviflora",310831.806203865
"Calla palustris",91077.4586579033
"Callirhoe alcaeoides",0
"Callisia repens",340307.816400139
"Callistephus chinensis",88871.523429012
"Callitriche brutia",133215.156946168
"Callitriche hamulata",9153.02850241207
"Callitriche hermaphroditica",0
"Callitriche stagnalis",735347.999320809
"Callitris oblonga",16611.6317787113
"Calluna vulgaris",235817.401508769
"Calophyllum inophyllum",61167.6581912063
"Calophyllum soulattri",2341.94058663495
"Caltha palustris",41174.6403818107
"Calystegia soldanella",3624.95783086053
"Camelina alyssum",137657.16731066
"Camelina microcarpa",551594.062677999
"Camelina rumelica",41459.3556318208
"Camelina sativa",565738.980529418
"Camellia japonica",47727.9253150669
"Cameraria latifolia",0
"Camonea umbellata",42915.2807508787
"Camonea vitifolia",0
"Campanula bononiensis",0
"Campanula cervicaria",19749.7463146663
"Campanula cochleariifolia",3402.54725212773
"Campanula erinus",2097.31719085872
"Campanula glomerata",1709340.37010523
"Campanula lanata",0
"Campanula latifolia",306654.112823833
"Campanula patula",418570.832718572
"Campanula persicifolia",813206.511520073
"Campanula portenschlagiana",184837.301007571
"Campanula rapunculus",163550.940945079
"Campanula rotundifolia",429748.426714324
"Campanula sibirica",1498.60233967158
"Campanula trachelium",195235.088845344
"Canavalia gladiata",0
"Canavalia rosea",8780.65930789457
"Canscora diffusa",0
"Capsella bursa-pastoris",7696186.88343004
"Capsella rubella",1369.71100650378
"Caragana frutex",167320.108664623
"Caragana grandiflora",0
"Caragana halodendron",9320.70086793769
"Cardamine africana",17383.3636699606
"Cardamine bulbifera",4272.35505480214
"Cardamine chelidonia",17697.0836969674
"Cardamine flexuosa",562957.507307495
"Cardamine glanduligera",1628.47029719398
"Cardamine hirsuta",3548997.58574316
"Cardamine impatiens",521749.09194803
"Cardamine macrophylla",0
"Cardamine parviflora",0
"Cardamine pratensis",24567.1858245778
"Cardamine quinquefolia",2144.7906924717
"Cardamine trifolia",18203.9879365399
"Cardiospermum halicacabum",671367.472751796
"Carduus acanthoides",1193113.42134383
"Carduus nutans",3904544.22572647
"Carduus tenuiflorus",842294.683925767
"Carex acuta",0
"Carex acutiformis",37670.0363369139
"Carex aquatilis",0
"Carex arenaria",5877.40047434108
"Carex argyi",2457.02480570589
"Carex bohemica",0
"Carex brevior",0
"Carex brizoides",279.019243405827
"Carex buekii",683.644867690258
"Carex bushii",795.865807891856
"Carex buxbaumii",6334.60687913624
"Carex caryophyllea",295.202300699387
"Carex distans",1401.39496813426
"Carex disticha",9512.55955159181
"Carex divisa",109841.676159735
"Carex divulsa",147252.526727896
"Carex extensa",11910.8989641662
"Carex flacca",115122.628858445
"Carex gravida",9180.19537950461
"Carex laevigata",0
"Carex laevissima",2967.75372263995
"Carex livida",140.982426449819
"Carex melanostachya",7846.0316354849
"Carex mesochorea",6248.02335773538
"Carex muricata",5210.07800854171
"Carex nigra",2023.72676689938
"Carex pallescens",4871.98782020214
"Carex panicea",25321.3019486845
"Carex paniculata",0
"Carex parvispica",3969.67177864294
"Carex pendula",105450.167981809
"Carex pilulifera",1192.82294561438
"Carex praticola",14714.968685095
"Carex punctata",13647.7851836501
"Carex rostrata",0
"Carex secalina",2434.04804842073
"Carex straminea",0
"Carex strigosa",5529.65095621392
"Carex swanii",0
"Carex sylvatica",65267.1317876479
"Carlina acaulis",10402.1483123181
"Carlina biebersteinii",48222.0252450237
"Carlina vulgaris",37869.2515268856
"Carpesium abrotanoides",4198.47722705725
"Carpesium cernuum",6086.01908891867
"Carpinus betulus",80575.2185917558
"Carrichtera annua",746295.826027737
"Carthamus dentatus",24592.4610081182
"Carum carvi",565310.430917924
"Casearia nitida",0
"Cassytha pubescens",3827.76702090189
"Castanea dentata",33305.3458129279
"Castanea sativa",974854.389815922
"Castilleja coccinea",0
"Catabrosa aquatica",0
"Catalpa longissima",1680.07911521562
"Catananche caerulea",110322.086828327
"Catapodium marinum",6794.84437920981
"Catapodium rigidum",598769.750272164
"Catharanthus pusillus",0
"Caucalis platycarpos",10698.9121191708
"Cedrela odorata",208226.716943282
"Ceiba pentandra",236195.926023498
"Celtis australis",541170.206227552
"Celtis caucasica",5298.13276540951
"Centaurea arenaria",0
"Centaurea calcitrapa",923108.63316736
"Centaurea cyanus",4757842.18596298
"Centaurea macroptilon",0
"Centaurea melitensis",2088928.43872163
"Centaurea montana",1574188.21255482
"Centaurea nemoralis",1660.04790106862
"Centaurea nigra",577118.592466292
"Centaurea nigrescens",320386.957727072
"Centaurea phrygia",53730.1310327058
"Centaurea salonitana",0
"Centaurea solstitialis",1279589.39449316
"Centaurea stoebe",2991634.5576335
"Centaurea varnensis",10837.042871259
"Centaurium erythraea",1340259.82518926
"Centaurium littorale",0
"Centaurium maritimum",61266.5180031924
"Centaurium pulchellum",1061384.32054268
"Centaurium tenuiflorum",992172.628175714
"Centella erecta",14027.7154506884
"Centrostachys aquatica",0
"Cephalaria alpina",4220.39218826
"Cephalaria syriaca",6773.59736012655
"Cerastium brachypetalum",74746.1140123027
"Cerastium comatum",39578.9333922676
"Cerastium diffusum",90105.5381191098
"Cerastium fontanum",1953883.20559664
"Cerastium glomeratum",3320708.57006731
"Cerastium grandiflorum",0
"Cerastium holosteoides",849824.716619342
"Cerastium pumilum",117469.258879404
"Cerastium semidecandrum",433328.535484274
"Ceratocapnos claviculata",91469.8375780022
"Ceratophyllum demersum",95447.8802740209
"Ceratophyllum muricatum",0
"Ceratophyllum submersum",39306.9463974462
"Ceratopteris thalictroides",111026.460206204
"Cerbera manghas",0
"Cerbera odollam",0
"Cercis canadensis",174346.709209368
"Ceriops tagal",33549.7687768124
"Chaerophyllum aureum",97920.326642877
"Chaerophyllum bulbosum",42774.1685125667
"Chaerophyllum hirsutum",8918.00367049046
"Chaerophyllum temulum",25393.6012718675
"Chaiturus marrubiastrum",360179.66413724
"Chamaecrista mimosoides",50944.83916083
"Chamaecrista serpens",2846.88756214242
"Chamaecytisus albus",0
"Chamaecytisus hirsutus",2782.12931824643
"Chamaecytisus ratisbonensis",0
"Chamaelirium luteum",0
"Chamaemelum fuscatum",7917.61485183252
"Chamaemelum nobile",156143.432276031
"Chamaerops humilis",1167.99977777911
"Chasmanthe bicolor",18879.2106350834
"Chenopodiastrum murale",1589478.24387868
"Chenopodium acerifolium",0
"Chenopodium detestans",0
"Chenopodium hircinum",3866.16468570979
"Chenopodium opulifolium",60491.6420193257
"Chenopodium pratericola",43084.3205654852
"Chenopodium standleyanum",0
"Chenopodium vulvaria",279114.207094513
"Chimaphila umbellata",19427.3292444941
"Chloranthus erectus",38096.4391745104
"Chorispora tenella",2082947.99114627
"Chrozophora plicata",0
"Chrysopogon aciculatus",108512.321734806
"Chrysopogon serrulatus",0
"Chukrasia tabularis",0
"Cicendia filiformis",258206.234167626
"Cicerbita alpina",1796.72652432706
"Cicerbita macrophylla",399530.614919063
"Cicerbita plumieri",32931.1788930544
"Circaea lutetiana",22248.2137367818
"Cirsium altissimum",0
"Cirsium canum",16371.5526912686
"Cirsium erisithales",239.766392435244
"Cirsium helenioides",324323.247299397
"Cirsium heterophyllum",25098.1230825463
"Cirsium lineare",9187.03744260831
"Cirsium oleraceum",139224.948425326
"Cirsium palustre",333449.887347677
"Cirsium pyrenaicum",0
"Cirsium rivulare",22929.8419976863
"Cirsium vulgare",9330294.48639669
"Cissampelos pareira",30331.2827846071
"Cissus nodosa",0
"Cissus repens",0
"Cissus verticillata",44334.7368764375
"Cistus inflatus",11171.7461999882
"Cistus laurifolius",2042.94494061354
"Cistus monspeliensis",23515.9684034407
"Cistus salviifolius",83469.4500427001
"Citrullus colocynthis",1035759.12872605
"Clausena excavata",2305.85979806575
"Claytonia sibirica",472259.998790047
"Clematis alpina",56840.7752049634
"Clematis brevicaudata",0
"Clematis fusca",0
"Clematis glauca",0
"Clematis integrifolia",0
"Clematis orientalis",67223.924148872
"Clematis recta",72014.3940223132
"Cleome ornithopodioides",3641.02579224603
"Cleretum apetalum",0
"Clerodendrum laevifolium",0
"Clerodendrum quadriloculare",9173.88509500338
"Cleyera japonica",0
"Clianthus puniceus",147.058639927233
"Clinopodium acinos",218921.34103289
"Clinopodium arkansanum",45537.2548494401
"Clinopodium menthifolium",19679.9520629893
"Clinopodium nepeta",40977.0548468788
"Clinopodium umbrosum",0
"Clivia nobilis",0
"Clypeola jonthlaspi",19285.3179738911
"Cnidium silaifolium",0
"Coccoloba uvifera",38623.8534441313
"Coccothrinax barbadensis",0
"Cocculus hirsutus",72270.3815488242
"Cochlearia danica",221414.206127901
"Cochlearia officinalis",38623.4213963109
"Coleus scutellarioides",328328.795867899
"Colubrina asiatica",34787.195814371
"Colutea arborescens",521261.880047804
"Commelina benghalensis",432286.357541926
"Commelina caroliniana",51474.3670030645
"Commelina erecta",13460.8553924661
"Commelina forskaolii",0
"Commelina paleata",0
"Commelina paludosa",4561.46087219742
"Commelina virginica",0
"Conioselinum chinense",0
"Conium maculatum",4072527.44117835
"Conocarpus erectus",13669.3701418143
"Conopodium majus",13218.6752666709
"Conringia orientalis",426370.477176628
"Convallaria majalis",2308226.04526512
"Convolvulus althaeoides",0
"Convolvulus arvensis",6724996.53868999
"Convolvulus betonicifolius",37102.1402858073
"Convolvulus pilosellifolius",0
"Corchorus depressus",0
"Corchorus fascicularis",0
"Corchorus olitorius",1040755.88431382
"Corchorus trilocularis",138258.229159196
"Corispermum algidum",0
"Corispermum hyssopifolium",84726.5687060927
"Corispermum intermedium",32325.9541190267
"Corispermum marschallii",15606.8855325539
"Corispermum nitidum",0
"Cormus domestica",18598.9672554109
"Cornus canadensis",2063.42074935709
"Cornus mas",435655.249196469
"Cornus sanguinea",111807.727404551
"Coronilla cretica",0
"Coronilla scorpioides",4865.21980832976
"Coronilla securidaca",5734.10670843651
"Coronilla vaginalis",0
"Coronilla varia",3841148.98053234
"Corrigiola litoralis",48079.6168986954
"Corydalis bracteata",16886.4616625299
"Corydalis capnoides",0
"Corydalis cava",100046.239203993
"Corydalis ochotensis",3885.52657768771
"Corylus avellana",88590.0003982615
"Corylus colurna",0
"Corylus heterophylla",0
"Corynephorus canescens",16037.3585055699
"Cota tinctoria",866310.874469995
"Cotinus coggygria",1048088.99805916
"Crambe cordifolia",24335.7574562654
"Crambe hispanica",0
"Crambe maritima",16704.3434263687
"Crambe orientalis",7243.33354593517
"Crassula aquatica",0
"Crassula campestris",2676.94250326694
"Crassula helmsii",488161.326785415
"Crassula peduncularis",2055.05249828525
"Crassula tillaea",217427.711028054
"Crassula vaillantii",43954.4374248211
"Craterostigma nummulariifolium",0
"Crinum asiaticum",92651.8951895919
"Crinum moorei",8438.33340112447
"Crinum zeylanicum",11153.7323529971
"Crithmum maritimum",10839.4919026397
"Crocosmia masoniorum",45408.8946623285
"Crocus biflorus",49191.8547458977
"Crocus chrysanthus",145435.834522518
"Crocus flavus",13691.2106911079
"Crocus heuffelianus",119.818814209452
"Crocus longiflorus",0
"Crocus sativus",3064.59008744425
"Crocus speciosus",107752.318611363
"Crocus tommasinianus",578633.953282276
"Crocus vernus",669213.566734836
"Crossostephium chinense",43219.4941282587
