"taxon_name","ISO3_Code","overlap"
"Limosella australis","USA",TRUE
"Linaria dalmatica","CHE",TRUE
"Linum narbonense","CHE",TRUE
"Linum perenne","DEU",TRUE
"Linum perenne","RUS",TRUE
"Logfia gallica","DEU",TRUE
"Logfia gallica","GBR",FALSE
"Lolium remotum","SWE",FALSE
"Lolium temulentum","IRL",FALSE
"Lolium temulentum","SWE",FALSE
"Lonicera caerulea","LVA",TRUE
"Lonicera xylosteum","GBR",FALSE
"Lotus corniculatus","RUS",TRUE
"Lotus herbaceus","DEU",TRUE
"Louisiella paludosa","JPN",TRUE
"Ludwigia brevipes","USA",TRUE
"Ludwigia peruviana","SGP",FALSE
"Lupinus perennis","CAN",TRUE
"Lupinus perennis","USA",TRUE
"Lycopodiella cernua","PRT",TRUE
"Lysimachia foemina","GBR",FALSE
"Lysimachia hybrida","USA",TRUE
"Lysimachia nummularia","RUS",TRUE
"Lythrum hyssopifolia","GBR",FALSE
"Lythrum hyssopifolia","NLD",TRUE
"Lythrum virgatum","FRA",TRUE
"Malope malacoides","FRA",TRUE
"Malva cretica","FRA",TRUE
"Malva moschata","AUT",TRUE
"Malva pusilla","SWE",TRUE
"Marrubium vulgare","SWE",TRUE
"Medicago minima","DEU",TRUE
"Medicago polymorpha","CHE",TRUE
"Medicago polymorpha","NLD",TRUE
"Medicago rigidula","SVK",TRUE
"Medicago rugosa","FRA",TRUE
"Medicago soleirolii","FRA",FALSE
"Megathyrsus maximus","IND",FALSE
"Melampyrum arvense","GBR",TRUE
"Melia azedarach","IND",TRUE
"Melilotus indicus","CHE",TRUE
"Melilotus sulcatus","CHE",TRUE
"Melilotus wolgicus","RUS",TRUE
"Menispermum dauricum","RUS",TRUE
"Mentha longifolia","PRT",TRUE
"Mentha suaveolens","SWE",FALSE
"Mesembryanthemum crystallinum","FRA",TRUE
"Meum athamanticum","NOR",FALSE
"Mibora minima","NLD",TRUE
"Micrococca mercurialis","IND",TRUE
"Milium vernale","SWE",FALSE
"Misopates orontium","IRL",FALSE
"Monarda didyma","CAN",TRUE
"Monarda didyma","USA",TRUE
"Muhlenbergia cuspidata","USA",TRUE
"Mummenhoffia alliacea","CHE",TRUE
"Mummenhoffia alliacea","DEU",TRUE
"Muscari neglectum","RUS",TRUE
"Myriophyllum heterophyllum","CAN",TRUE
"Myriophyllum heterophyllum","USA",TRUE
"Myriophyllum pinnatum","CUB",TRUE
"Myrrhis odorata","NLD",TRUE
"Najas marina","RUS",TRUE
"Narcissus pseudonarcissus","DEU",TRUE
"Nasturtium officinale","LTU",TRUE
"Nekemias arborea","CUB",FALSE
"Neltuma juliflora","CUB",TRUE
"Nepeta cataria","AUT",TRUE
"Nepeta cataria","GBR",FALSE
"Nepeta cataria","SWE",FALSE
"Nepeta nuda","RUS",TRUE
"Nepeta ucranica","RUS",TRUE
"Neslia paniculata","SWE",TRUE
"Nidorella aegyptiaca","TWN",TRUE
"Nonea lutea","CHE",FALSE
"Nonea pulla","RUS",TRUE
"Nonea versicolor","SWE",FALSE
"Nymphoides peltata","CHE",TRUE
"Nymphoides peltata","DEU",TRUE
"Nymphoides peltata","RUS",TRUE
"Ochroma pyramidale","CUB",TRUE
"Oenanthe fistulosa","GBR",TRUE
"Oenanthe pimpinelloides","BEL",TRUE
"Onobrychis viciifolia","SWE",FALSE
"Onoclea struthiopteris","DEU",TRUE
"Onoclea struthiopteris","NLD",TRUE
"Ononis arvensis","RUS",TRUE
"Ononis spinosa","NOR",TRUE
"Onopordum acanthium","NOR",TRUE
"Oreomecon alpina","DEU",TRUE
"Oreomecon nudicaulis","RUS",TRUE
"Ornithopus perpusillus","SWE",TRUE
"Oxalis thompsoniae","NZL",TRUE
"Oxalis violacea","USA",TRUE
"Oxybasis glauca","GBR",FALSE
"Papaver cambricum","CHE",TRUE
"Papaver orientale","RUS",TRUE
"Parietaria officinalis","SWE",FALSE
"Parietaria pensylvanica","USA",TRUE
"Paronychia fastigiata","CAN",TRUE
"Pavonia spinifex","USA",TRUE
"Pedicularis spicata","JPN",TRUE
"Penstemon hirsutus","USA",TRUE
"Penstemon pallidus","USA",TRUE
"Petasites hybridus","RUS",TRUE
"Petrosedum forsterianum","DEU",TRUE
"Peucedanum ostruthium","GBR",FALSE
"Phacelia dubia","USA",TRUE
"Phedimus aizoon","RUS",TRUE
"Phellodendron amurense","RUS",TRUE
"Phlomoides tuberosa","RUS",TRUE
"Phlox bifida","USA",TRUE
"Phlox divaricata","USA",TRUE
"Phyllanthus reticulatus","EGY",FALSE
"Physalis pubescens","USA",TRUE
"Phyteuma nigrum","SWE",FALSE
"Phyteuma nigrum","RUS",TRUE
"Phyteuma spicatum","SWE",TRUE
"Phyteuma spicatum","RUS",TRUE
"Picea abies","DNK",TRUE
"Picea obovata","RUS",TRUE
"Pilea microphylla","IND",FALSE
"Pimpinella lutea","FRA",TRUE
"Pinus pinea","ALB",TRUE
"Pinus sibirica","RUS",TRUE
"Pinus sylvestris","RUS",TRUE
"Pittosporum crassifolium","NZL",TRUE
"Plantago heterophylla","USA",TRUE
"Plantago maritima","RUS",TRUE
"Platanus occidentalis","USA",TRUE
"Pleopeltis polypodioides","USA",TRUE
"Pluchea camphorata","USA",TRUE
"Polemonium caeruleum","DEU",TRUE
"Polypogon monspeliensis","IND",TRUE
"Polypremum procumbens","USA",TRUE
"Polystichum aculeatum","SWE",TRUE
"Polystichum braunii","SWE",TRUE
"Populus euphratica","EGY",TRUE
"Portulaca pilosa","IND",FALSE
"Primula elatior","RUS",TRUE
"Primula matthioli","RUS",TRUE
"Primula vulgaris","DEU",TRUE
"Prunella laciniata","DEU",TRUE
"Prunella laciniata","SWE",FALSE
"Prunus fruticosa","RUS",TRUE
"Prunus maackii","RUS",TRUE
"Prunus sibirica","RUS",TRUE
"Prunus spinosa","LVA",TRUE
"Prunus spinosa","RUS",TRUE
"Psammophiliella muralis","SWE",FALSE
"Pseudopodospermum hispanicum","DEU",TRUE
"Pseudoroegneria spicata","USA",TRUE
"Psidium guineense","CUB",FALSE
"Pteris multifida","CUB",FALSE
"Pteris vittata","FRA",TRUE
"Rapistrum rugosum","DEU",TRUE
"Rhamnus cathartica","RUS",TRUE
"Rhinanthus alectorolophus","DEU",TRUE
"Rhinanthus rumelicus","DEU",TRUE
"Rhododendron calendulaceum","USA",TRUE
"Rhododendron luteum","AUT",TRUE
"Rhododendron maximum","USA",TRUE
"Ripariosida hermaphrodita","USA",TRUE
"Roemeria argemone","GBR",TRUE
"Rorippa pyrenaica","DEU",TRUE
"Rosa arkansana","CAN",TRUE
"Rosa arkansana","USA",TRUE
"Rosa dumalis","RUS",TRUE
"Rosa gallica","RUS",TRUE
"Rosa glauca","DEU",TRUE
"Rosa majalis","NLD",TRUE
"Rosa setigera","USA",TRUE
"Rosa spinosissima","DEU",TRUE
"Rosa spinosissima","RUS",TRUE
"Rosa villosa","RUS",TRUE
"Rubia tinctorum","CHE",TRUE
"Rubia tinctorum","NLD",FALSE
"Rumex hastatulus","USA",TRUE
"Rumex pulcher","GBR",TRUE
"Rumex pulcher","IRL",TRUE
"Ruscus aculeatus","GBR",TRUE
"Sabatia angularis","USA",TRUE
"Sabatia campestris","USA",TRUE
"Sagina apetala","SWE",FALSE
"Sagittaria brevirostra","USA",TRUE
"Sagittaria latifolia","DEU",FALSE
"Sagittaria rigida","USA",TRUE
"Sagittaria sagittifolia","GBR",TRUE
"Salvia aethiopis","AUT",TRUE
"Salvia pratensis","SWE",FALSE
"Salvia pratensis","RUS",TRUE
"Salvia verticillata","LUX",TRUE
"Salvia verticillata","NLD",FALSE
"Salvia verticillata","SWE",FALSE
"Salvia verticillata","RUS",TRUE
"Salvinia auriculata","CHL",TRUE
"Salvinia natans","NLD",TRUE
"Salvinia natans","SVN",TRUE
"Saponaria ocymoides","DEU",TRUE
"Saussurea amara","RUS",TRUE
"Saxifraga hypnoides","GBR",TRUE
"Scandix pecten-veneris","DEU",TRUE
"Scandix pecten-veneris","GBR",FALSE
"Scandix pecten-veneris","SWE",TRUE
"Schisandra chinensis","RUS",TRUE
"Schoenoplectus tabernaemontani","RUS",TRUE
"Scilla siberica","RUS",TRUE
"Scleranthus annuus","GBR",TRUE
"Scleranthus perennis","RUS",TRUE
"Scrophularia altaica","RUS",TRUE
"Scrophularia scopolii","RUS",TRUE
"Scrophularia vernalis","AUT",TRUE
"Scutellaria altissima","RUS",TRUE
"Scutellaria columnae","FRA",TRUE
"Scutellaria nervosa","USA",TRUE
"Sedum album","RUS",TRUE
"Sedum dasyphyllum","DEU",TRUE
"Sedum sexangulare","RUS",TRUE
"Sempervivum arachnoideum","DEU",TRUE
"Serapias nurrica","ESP",TRUE
"Silene bellidifolia","FRA",TRUE
"Silene chalcedonica","RUS",TRUE
"Silene conica","DEU",TRUE
"Silene dichotoma","SWE",FALSE
"Silene flos-cuculi","RUS",TRUE
"Silene gallica","GBR",FALSE
"Silene nivea","USA",TRUE
"Silene noctiflora","GBR",FALSE
"Silene noctiflora","NOR",FALSE
"Silene tatarica","DEU",TRUE
"Sisymbrium altissimum","CHE",TRUE
"Sisymbrium irio","CHE",TRUE
"Sisymbrium loeselii","CHE",TRUE
"Sisymbrium loeselii","NLD",TRUE
"Sisyrinchium albidum","CAN",TRUE
"Sisyrinchium albidum","USA",TRUE
"Sisyrinchium montanum","CHE",FALSE
"Sisyrinchium montanum","SWE",FALSE
"Soleirolia soleirolii","ESP",TRUE
"Solidago missouriensis","USA",TRUE
"Solidago ptarmicoides","USA",TRUE
"Sonchus palustris","RUS",TRUE
"Spergula arvensis","SWE",TRUE
"Spergula segetalis","DEU",TRUE
