"species","native_area_km2","threatened_area_km2","ratio","nonnative_area_km2"
"Aldrovanda vesiculosa",268906.279248624,74395.4027223185,0.276659224656984,27360.6381221029
"Alisma lanceolatum",2129622.22428541,92191.4209012414,0.0432900351292005,147420.020659078
"Alisma plantago-aquatica",7023145.65088375,79911.5042409449,0.0113783065613753,184382.73741668
"Alkekengi officinarum",1912681.89310368,64580.2431831508,0.0337642361837584,1853653.86769742
"Alliaria petiolata",5577776.92532805,4312.68571521538,0.000773190784240934,2739750.38028265
"Alloteropsis cimicina",88720.1288427946,411.567638239311,0.00463894319820678,332.493008732483
"Alocasia macrorrhizos",161365.061093651,44348.9076941668,0.274835874591391,125051.859621178
"Aloe vera",18186.1725895737,229.061964630424,0.0125953915537867,717434.953556479
"Alopecurus aequalis",5264511.43213187,110503.800916182,0.0209903240482534,285543.772656244
"Alopecurus arundinaceus",1394559.1128816,33199.2362148127,0.0238062595612835,104847.915563286
"Alopecurus geniculatus",3232146.53366807,79840.339857108,0.0247019555040097,1099583.32226341
"Alopecurus pratensis",5466094.22944034,442.539623073352,8.09608478188753e-05,2080071.08600743
"Alopecurus utriculatus",28625.1557953964,1178.25618927303,0.0411615642442206,66209.1680832249
"Alpinia malaccensis",11467.5700490514,11467.5700490514,1,13446.0377729486
"Althaea cannabina",1079566.89966315,836.096333274654,0.000774473850148178,31023.4456582376
"Althaea officinalis",3347038.27031566,586484.807992123,0.175225008089558,390028.39131954
"Alysicarpus bupleurifolius",32569.0985307806,21607.6563370416,0.663440417812623,10265.4845592986
"Alysicarpus vaginalis",812271.397247414,24748.0291918246,0.0304676851550965,535469.915219549
"Alyssum alyssoides",1988101.02135028,100680.745480894,0.0506416647844755,651504.066319773
"Alyssum desertorum",873824.059614825,2714.7066852978,0.00310669711531452,738541.54967749
"Alyssum montanum",498302.185727307,5000.77551456953,0.0100356282950486,12513.3886531902
"Amaranthus blitum",636618.306927767,359230.22604424,0.564278818461625,1007053.96662439
"Amaranthus graecizans",1516370.07584013,26393.8115042376,0.0174059168831952,89301.752675087
"Ambrosia maritima",109524.564557479,6928.35192187543,0.0632584292835918,17937.6348695906
"Ambrosia psilostachya",1987417.38501283,8750.76570339858,0.00440308400710809,714574.902299144
"Amorphophallus paeoniifolius",935205.227133243,359593.669089738,0.384507762207476,20885.6124741005
"Amphibromus fluitans",129806.346141372,14024.7881087455,0.108043932562982,3350.01284268231
"Amphilophium crucigerum",738228.610335654,5361.28070168579,0.00726235833537819,8854.95505264823
"Anaphalis margaritacea",3669937.44604418,199768.672334562,0.0544338085516669,781675.096222342
"Anchusa arvensis",1829734.76383766,31843.5585944372,0.0174033740975927,278802.730636387
"Anchusa ochroleuca",83226.5109998815,2604.24697454104,0.0312910747219086,30526.8826136933
"Anchusa ovata",5480.54593594384,4888.57509014981,0.8919868836585,2342.91412412461
"Andrographis paniculata",449997.941310493,4786.69806082191,0.0106371554653828,145615.063989862
"Andropogon distachyos",194981.505129279,245.581802526017,0.00125951331826672,86682.1023196902
"Androsace elongata",718028.804388235,71300.5088513372,0.0993003461916624,3923.50933934818
"Androsace maxima",1711236.86230484,50818.5739716273,0.0296969841469991,38173.3848450451
"Anemanthele lessoniana",66619.219790738,65268.3604298397,0.979722678152918,42722.7572515187
"Anemonastrum canadense",2673460.77165749,421770.630401267,0.157762041946768,10410.7186160062
"Anemonastrum dichotomum",1104260.63730003,14253.2276924604,0.0129074850728269,5517.76615464123
"Anemonoides blanda",255626.056902664,26040.0535581148,0.101867758997785,409214.238168996
"Anemonoides nemorosa",3370050.97728089,81966.468637985,0.0243220263404203,24993.8877210977
"Anemonoides ranunculoides",3068268.66670387,150383.701285451,0.0490125597270472,45027.6114179537
"Anethum graveolens",29978.6326672736,9063.9617893167,0.302347404897203,918031.267776139
"Angiopteris evecta",96937.2343743678,411.567638239311,0.00424571260873663,12174.715624301
"Anisomeles indica",400199.911768389,71.2225268354511,0.000177967372658169,4266.93722230056
"Annona mucosa",352520.291930618,10797.3239270476,0.0306289429976209,1225.59245281952
"Anthemis arvensis",2642019.96527694,143071.857353145,0.0541524512431715,618107.750901638
"Anthemis cotula",2177983.64004753,307429.661457274,0.141153338254903,1065768.95419079
"Anthemis ruthenica",720638.664744497,7479.21988429477,0.0103785992206601,54034.7590903747
"Anthericum liliago",1537362.38759035,392105.843836784,0.255051019201379,12101.2845877601
"Anthriscus caucalis",1986525.67952358,127788.770709169,0.0643277718613816,564711.727441233
"Anthriscus cerefolium",524533.543609997,30463.4178512486,0.0580771586914924,462365.800490696
"Anthyllis vulneraria",4522219.89993912,68119.2398169402,0.0150632302993177,533448.638298739
"Antirrhinum tortuosum",156296.955379083,16869.1397579808,0.107930059911061,8384.53170152891
"Apera interrupta",695517.574483731,23202.3541123958,0.0333598387209963,161406.865717787
"Apium graveolens",2161869.59247617,398889.726582134,0.184511465432683,482526.813098439
"Aposeris foetida",501839.147832045,52241.0075845712,0.104099107872021,2063.42074935709
"Aquarius cordifolius",747083.191898561,104008.513478935,0.139219453210583,45856.1379261398
"Aquilegia flabellata",403998.420908071,63281.9518828143,0.156639107005851,47255.5036287657
"Aquilegia pyrenaica",106386.689027343,442.539623073352,0.00415972737867245,4557.55280464542
"Aquilegia vulgaris",3184856.04484154,84004.0829492017,0.026376100447385,2354509.46630223
"Arabidopsis arenosa",1560615.34539926,30274.3865908523,0.019399006090836,878567.451991684
